x,CCA,ICA
6.3e-05,3.6864,3.1759
0.000217,3.6899,3.1758
0.008274,3.8828,3.21
0.015313,4.1119,3.3705
0.016108,4.1484,3.3919
0.020005,4.4166,3.5109
0.023064,4.7597,3.6364
0.025481,5.0053,3.7475
0.028297,5.287,3.912
0.029027,5.3709,3.957
0.032522,5.9237,4.1647
0.033004,6.0077,4.193
0.035182,6.3485,4.3392
0.036981,6.619,4.488
0.03839,6.8426,4.604
0.04058,7.1964,4.7624
0.040959,7.2557,4.7914
0.043945,7.7181,5.0231
0.044936,7.8925,5.0908
0.046605,8.2517,5.1996
0.04792,8.5292,5.297
0.049813,8.8392,5.4483
0.051847,9.1333,5.6268
0.051897,9.1405,5.6312
0.054977,9.6154,5.8775
0.055874,9.7772,5.9345
0.05795,10.2227,6.0641
0.058859,10.414,6.1365
0.060923,10.7745,6.3108
0.062836,11.0507,6.4271
0.06374,11.1686,6.4772
0.067806,11.662,6.7152
0.068199,11.7099,6.736
0.071797,12.1549,6.8904
0.072776,12.2733,6.9363
0.07696,12.6777,7.1231
0.080725,12.8846,7.2182
0.082747,12.9616,7.2514
0.090801,13.1387,7.3397
0.096615,13.1393,7.2977
0.098933,13.0954,7.2575
0.106047,12.7626,7.091
0.108526,12.579,7.0288
0.111519,12.3273,6.9366
0.115472,11.9677,6.7545
0.115896,11.93,6.736
0.120665,11.5156,6.5596
0.122418,11.3565,6.4825
0.12512,11.0885,6.349
0.12837,10.7452,6.1923
0.12895,10.6846,6.1645
0.133483,10.2046,5.9479
0.134323,10.1085,5.9106
0.137704,9.6856,5.7593
0.139283,9.4972,5.6783
0.141925,9.2203,5.5427
0.145236,8.8859,5.4029
0.145989,8.8057,5.3703
0.150601,8.3078,5.1537
0.151188,8.2492,5.1285
0.154978,7.9064,4.9772
0.158134,7.6379,4.8396
0.159981,7.4781,4.7646
0.164827,7.0491,4.6022
0.16508,7.0267,4.5926
0.170221,6.5847,4.3916
0.172026,6.4409,4.34
0.175771,6.1645,4.2492
0.180958,5.8296,4.094
0.181947,5.7721,4.0647
0.188123,5.4474,3.9163
0.191876,5.2693,3.8419
0.195785,5.0936,3.7679
0.202039,4.8366,3.6315
0.204781,4.7345,3.5429
0.20798,4.6239,3.445
0.215017,4.4191,3.3467
0.221658,4.2761,3.3033
0.224399,4.2302,3.2846
0.231749,4.1386,3.2184
0.241288,4.0785,3.1522
0.244495,4.0723,3.1349
0.248872,4.0751,3.1181
0.259272,4.1283,3.0961
0.266857,4.2061,3.1182
0.268328,4.2252,3.1241
0.276162,4.3492,3.1563
0.283591,4.4914,3.2105
0.28819,4.5818,3.2467
0.293366,4.6777,3.2887
0.301029,4.7969,3.3569
0.310039,4.8875,3.4187
0.3101,4.8879,3.4191
0.317763,4.9153,3.4632
0.328007,4.8874,3.5013
0.33387,4.8366,3.4994
0.335122,4.8219,3.4953
0.345678,4.6469,3.4532
0.353106,4.4928,3.4091
0.353727,4.48,3.4054
0.361628,4.3289,3.353
0.370073,4.2005,3.2667
0.374577,4.149,3.233
0.379064,4.1101,3.2026
0.387118,4.0724,3.1404
0.396813,4.088,3.1023
0.398408,4.0981,3.0982
0.404241,4.155,3.0963
0.413859,4.3051,3.1264
0.420256,4.4292,3.1531
0.421679,4.4578,3.1605
0.430202,4.6252,3.2147
0.438804,4.7676,3.2829
0.440119,4.7858,3.2959
0.448032,4.873,3.3752
0.456086,4.9183,3.4253
0.462959,4.9132,3.4671
0.465548,4.8981,3.4795
0.472663,4.8226,3.4815
0.482672,4.6674,3.4835
0.484802,4.6331,3.4834
0.490804,4.5423,3.4655
0.500421,4.4203,3.4033
0.507639,4.3529,3.3975
0.508709,4.3451,3.3973
0.518562,4.294,3.3853
0.526303,4.2669,3.3954
0.530476,4.2511,3.3918
0.535764,4.2266,3.3833
0.542958,4.1877,3.3813
0.553357,4.1289,3.3794
0.554307,4.1238,3.3797
0.561333,4.0888,3.3814
0.570794,4.0486,3.3653
0.578138,4.0219,3.3611
0.578848,4.0195,3.3613
0.588857,3.9876,3.3634
0.597302,3.9624,3.3554
0.602962,3.9456,3.3539
0.605981,3.9364,3.3554
0.61466,3.9091,3.3594
0.624278,3.8776,3.3454
0.626793,3.8692,3.3424
0.632175,3.851,3.3354
0.642106,3.8184,3.3193
0.648987,3.7975,3.3394
0.650624,3.7928,3.3396
0.659777,3.7696,3.3274
0.66744,3.754,3.3274
0.675448,3.7419,3.3216
0.677449,3.7396,3.3214
0.685112,3.7325,3.3274
0.695042,3.7234,3.3094
0.700273,3.7165,3.3127
0.703096,3.7117,3.3154
0.713027,3.6902,3.3074
0.720611,3.6728,3.3014
0.724104,3.6656,3.3028
0.730385,3.655,3.3054
0.73883,3.6452,3.2994
0.748291,3.6403,3.2914
0.748929,3.6402,3.2915
0.756267,3.6404,3.2954
0.76565,3.642,3.2874
0.773626,3.6403,3.2774
0.773753,3.6402,3.2774
0.783244,3.6314,3.2794
0.79161,3.6213,3.2774
0.798578,3.6148,3.2713
0.800993,3.6134,3.2694
0.809594,3.6118,3.2654
0.818743,3.6136,3.2614
0.823402,3.6148,3.2635
0.82711,3.6155,3.2635
0.836493,3.6162,3.2514
0.845485,3.6154,3.2495
0.848227,3.6148,3.2489
0.853773,3.6135,3.2495
0.862453,3.612,3.2535
0.871992,3.6142,3.2314
0.873052,3.6149,3.231
0.880046,3.6216,3.2395
0.889976,3.6339,3.2275
0.896884,3.6404,3.2215
0.898499,3.6413,3.2215
0.907882,3.6431,3.2255
0.915936,3.6417,3.2255
0.921708,3.6404,3.216
0.925632,3.6399,3.2095
0.933686,3.6398,3.2055
0.942913,3.6403,3.2035
0.946533,3.6405,3.2041
0.950888,3.6406,3.2035
0.960037,3.6407,3.1955
0.969107,3.6405,3.1975
0.971358,3.6405,3.1965
0.977708,3.6405,3.1895
0.986466,3.6405,3.1835
0.99538,3.6405,3.1855
0.996182,3.6406,3.1851
1.00101,3.6406,3.1755
